"""ID""",FireSeason,Month,Day,SitReportDate,TotalFires,TotalAcres,HumanFires,HumanAcres,LightningFires,LightningAcres,PrepLevel
2351,2002,4,29,20020529,22,719.4,,,,,1
2352,2002,4,30,20020430,22,719.4,,,,,1
2353,2002,5,1,20020501,22,719.4,,,,,1
2354,2002,5,2,20020502,28,726.8,,,,,1
2355,2002,5,6,20020506,40,1730.4,,,,,1
2356,2002,5,7,20020507,42,1730.8,,,,,1
2357,2002,5,8,20020508,42,1732,,,,,1
2358,2002,5,9,20020509,47,1732.4,,,,,1
2349,2002,5,10,20020510,54,1739.3,,,,,1
2350,2002,5,12,20020512,59,1742.4,,,,,1
2359,2002,5,13,20020513,65,1743.1,,,,,1
2360,2002,5,14,20020514,71,1750,,,,,1
2361,2002,5,15,20020515,83,1756,,,,,1
2362,2002,5,16,20020516,85,1807.1,,,,,1
2363,2002,5,17,20020517,89,1810.4,,,,,1
2364,2002,5,18,20020518,94,9775.6,,,,,1
2365,2002,5,19,20020519,116,18814.4,,,,,1
2366,2002,5,20,20020520,141,27744,,,,,2
2367,2002,5,21,20020521,156,37854,,,,,2
2368,2002,5,22,20020522,170,37451.8,,,,,2
2371,2002,5,23,20020523,186,41818.1,,,,,2
2369,2002,5,25,20020525,204,58188.5,,,,,3
2370,2002,5,26,20020526,212,80361.7,,,,,3
2372,2002,5,27,20020527,225,125428.1,,,,,3
2373,2002,5,28,20020528,239,232863.1,,,,,3
2374,2002,5,29,20020529,252,275597.5,,,,,3
2375,2002,5,30,20020530,254,289104.1,,,,,3
2376,2002,5,31,20020531,258,355361.7,,,,,3
2377,2002,6,2,20020602,266,375848.9,,,,,3
2378,2002,6,3,20020603,269,399418.5,,,,,3
2379,2002,6,4,20020604,269,408021.5,,,,,3
2380,2002,6,5,20020605,271,412321.7,,,,,2
2381,2002,6,6,20020606,281,412840,,,,,2
2382,2002,6,7,20020607,285,413614.6,,,,,2
2383,2002,6,9,20020609,294,418727.8,,,,,2
2384,2002,6,10,20020610,299,424627,,,,,2
2385,2002,6,11,20020611,301,431064.5,,,,,2
2386,2002,6,13,20020613,306,432356.9,,,,,1
2387,2002,6,14,20020614,306,432420.8,,,,,1
2388,2002,6,15,20020615,309,443277.8,,,,,1
2389,2002,6,16,20020616,315,443941.5,,,,,1
2390,2002,6,17,20020617,319,450664,,,,,1
2391,2002,6,18,20020618,320,484361.8,,,,,2
2392,2002,6,19,20020619,325,519942.7,,,,,2
2393,2002,6,20,20020620,331,634750.5,,,,,2
2394,2002,6,21,20020621,334,680267.2,,,,,2
2395,2002,6,22,20020622,336,710703.3,,,,,2
2396,2002,6,23,20020623,338,724029.5,,,,,2
2397,2002,6,24,20020624,339,745775.6,,,,,2
2398,2002,6,25,20020625,340,791336.7,,,,,2
2399,2002,6,26,20020626,340,794665.7,,,,,2
2400,2002,6,27,20020627,342,798159.9,,,,,2
2401,2002,6,28,20020628,343,799102,,,,,2
2402,2002,6,29,20020629,346,805151.4,,,,,2
2404,2002,6,30,20020630,349,821149.5,,,,,2
2405,2002,7,1,20020701,353,831342.4,,,,,2
2406,2002,7,2,20020702,356,850132.3,,,,,2
2407,2002,7,3,20020703,355,860604.2,,,,,2
2408,2002,7,4,20020704,360,860619,,,,,2
2409,2002,7,5,20020705,368,874520.1,,,,,2
2410,2002,7,6,20020706,370,887205.3,,,,,2
2411,2002,7,7,20020707,370,888424.3,,,,,2
2412,2002,7,8,20020708,372,888612.7,,,,,1
2413,2002,7,9,20020709,374,888632.8,,,,,1
2414,2002,7,10,20020710,375,890148,,,,,1
2415,2002,7,11,20020711,378,890892.5,,,,,1
2416,2002,7,12,20020712,384,892447.9,,,,,1
2417,2002,7,13,20020713,386,893058.5,,,,,1
2418,2002,7,14,20020714,388,893849,,,,,1
2419,2002,7,15,20020715,390,894419.3,,,,,1
2420,2002,7,16,20020716,394,894703.9,,,,,1
2421,2002,7,17,20020717,402,896172.1,,,,,2
2422,2002,7,18,20020718,426,898204.1,,,,,2
2423,2002,7,19,20020719,450,907382.2,,,,,4
2424,2002,7,20,20020720,468,923254.3,,,,,4
2425,2002,7,21,20020721,479,940365.5,,,,,4
2426,2002,7,22,20020722,493,971613.7,,,,,4
2427,2002,7,23,20020723,496,976845.6,,,,,4
2428,2002,7,24,20020724,499,999433.7,,,,,3
2429,2002,7,25,20020725,499,1002081.6,,,,,3
2430,2002,7,26,20020726,499,1012411.5,,,,,3
2431,2002,7,27,20020727,500,1013651.6,,,,,2
2432,2002,7,28,20020728,501,1024591.7,,,,,2
2433,2002,7,29,20020729,502,1028231.8,,,,,2
2434,2002,7,30,20020730,502,1048034.8,,,,,1
2435,2002,7,31,20020731,501,1080673.5,,,,,1
2436,2002,8,1,20020801,505,1106441.5,,,,,1
2437,2002,8,2,20020802,507,1191819.2,,,,,2
2438,2002,8,3,20020803,515,1214691.9,,,,,2
2439,2002,8,4,20020804,517,1238737.4,,,,,5
2440,2002,8,5,20020805,519,1294433.5,,,,,5
2441,2002,8,6,20020806,521,1359916.1,,,,,5
2442,2002,8,7,20020807,525,1527860,,,,,5
2443,2002,8,8,20020808,526,1715248,,,,,4
2444,2002,8,9,20020809,528,1733091.2,,,,,4
2445,2002,8,10,20020810,532,1854820.6,,,,,3
2446,2002,8,11,20020811,532,1862270.6,,,,,3
2447,2002,8,12,20020812,533,1932033.6,,,,,2
2448,2002,8,13,20020813,534,1956883.5,,,,,2
2449,2002,8,14,20020814,534,1992318.5,,,,,2
2450,2002,8,15,20020815,534,1994757.5,,,,,2
2451,2002,8,16,20020816,535,2026057.6,,,,,2
2452,2002,8,17,20020817,535,2048182.6,,,,,2
2453,2002,8,18,20020818,535,2062478.6,,,,,2
2454,2002,8,19,20020819,535,2062478.6,,,,,2
